rel_path	success	n_rec	vl_const_onset	flag
worker1/DishwasherRack/out-right/s1/j3/n1/base	0	144		OK
worker1/DishwasherRack/out-right/s2/j0/n0/base	1	38		OK
worker1/DishwasherRack/out-right/s2/j0/n1/base	1	44		OK
worker1/DishwasherRack/out-right/s1/j3/n4/base	1	44		OK
worker1/DishwasherRack/out-right/s1/j4/n0/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j4/n1/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j4/n2/base	1	75		OK
worker1/DishwasherRack/out-right/s2/j0/n2/base	1	39		OK
worker1/DishwasherRack/out-right/s2/j0/n3/base	1	38		OK
worker1/DishwasherRack/out-right/s2/j0/n4/base	1	36		OK
worker1/DishwasherRack/out-right/s2/j1/n0/base	1	52		OK
worker1/DishwasherRack/out-right/s2/j1/n1/base	1	48		OK
worker1/DishwasherRack/out-right/s2/j1/n2/base	1	38		OK
worker1/DishwasherRack/out-right/s2/j2/n0/base	1	43		OK
worker1/DishwasherRack/out-right/s2/j2/n1/base	1	41		OK
worker1/DishwasherRack/out-right/s2/j1/n3/base	1	50		OK
worker1/DishwasherRack/out-right/s2/j1/n4/base	1	48		OK
worker1/DishwasherRack/out-right/s2/j2/n2/base	1	58		OK
worker1/DishwasherRack/out-right/s2/j2/n3/base	1	56		OK
worker1/DishwasherRack/out-right/s2/j3/n1/base	1	54		OK
worker1/DishwasherRack/out-right/s2/j3/n2/base	1	50		OK
worker1/DishwasherRack/out-right/s1/j4/n3/base	0	144		OK
worker1/DishwasherRack/out-right/s1/j4/n4/base	0	144		OK
worker1/DishwasherRack/out-right/s2/j2/n4/base	1	54		OK
worker1/DishwasherRack/out-right/s2/j3/n0/base	0	144		OK
worker1/DishwasherRack/out-right/s2/j3/n3/base	1	50		OK
worker1/DishwasherRack/out-right/s2/j3/n4/base	0	144		OK
worker1/DishwasherRack/out-right/s2/j4/n0/base	1	80		OK
worker1/DishwasherRack/out-right/s2/j4/n1/base	1	78		OK
worker1/DishwasherRack/out-right/s2/j4/n4/base	1	52		OK
worker1/OvenRack/out-left/s0/j0/n0/base	1	58		OK
worker1/OvenRack/out-left/s0/j0/n3/base	1	48		OK
